2018-03-12 22:25:53,944 [AWT-EventQueue-0] INFO  marytts.Voice Registering voice `cmu-rms-hsmm': male, locale en_US
2018-03-12 22:25:53,944 [AWT-EventQueue-0] INFO  marytts.HMMSynthesizer started.
2018-03-12 22:25:53,944 [AWT-EventQueue-0] INFO  marytts.Synthesis Module started (ACOUSTPARAMS->AUDIO, locale null).
2018-03-12 22:25:53,945 [AWT-EventQueue-0] INFO  marytts.HMMSynthesizer Starting power-on self test.
2018-03-12 22:25:53,947 [AWT-EventQueue-0] INFO  marytts.HMMSynthesizer Power-on self test complete.
2018-03-12 22:25:53,948 [AWT-EventQueue-0] INFO  marytts.TextToMaryXML Module started (TEXT->RAWMARYXML, locale null).
2018-03-12 22:25:53,948 [AWT-EventQueue-0] INFO  marytts.TextToMaryXML Starting power-on self test.
2018-03-12 22:25:53,957 [AWT-EventQueue-0] WARN  marytts.TextToMaryXML Locale is null, overriding with en_US
2018-03-12 22:25:53,957 [AWT-EventQueue-0] WARN  marytts.TextToMaryXML Locale is null, overriding with en_US
2018-03-12 22:25:53,957 [AWT-EventQueue-0] INFO  marytts.TextToMaryXML Power-on self test complete.
2018-03-12 22:25:54,244 [AWT-EventQueue-0] INFO  marytts.SableParser Module started (SABLE->RAWMARYXML, locale null).
2018-03-12 22:25:54,244 [AWT-EventQueue-0] INFO  marytts.SableParser Starting power-on self test.
2018-03-12 22:25:54,244 [AWT-EventQueue-0] INFO  marytts.SableParser Power-on self test complete.
2018-03-12 22:25:54,342 [AWT-EventQueue-0] INFO  marytts.SSMLParser Module started (SSML->RAWMARYXML, locale null).
2018-03-12 22:25:54,342 [AWT-EventQueue-0] INFO  marytts.SSMLParser Starting power-on self test.
2018-03-12 22:25:54,342 [AWT-EventQueue-0] INFO  marytts.SSMLParser Power-on self test complete.
2018-03-12 22:25:54,438 [AWT-EventQueue-0] INFO  marytts.APMLParser Module started (APML->RAWMARYXML, locale null).
2018-03-12 22:25:54,439 [AWT-EventQueue-0] INFO  marytts.APMLParser Starting power-on self test.
2018-03-12 22:25:54,440 [AWT-EventQueue-0] INFO  marytts.APMLParser Power-on self test complete.
2018-03-12 22:25:54,495 [AWT-EventQueue-0] INFO  marytts.EmotionmlParser Module started (EMOTIONML->RAWMARYXML, locale null).
2018-03-12 22:25:54,495 [AWT-EventQueue-0] INFO  marytts.EmotionmlParser Starting power-on self test.
2018-03-12 22:25:54,495 [AWT-EventQueue-0] INFO  marytts.EmotionmlParser Power-on self test complete.
2018-03-12 22:25:54,495 [AWT-EventQueue-0] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale null).
2018-03-12 22:25:54,565 [AWT-EventQueue-0] INFO  marytts.JTokeniser Starting power-on self test.
2018-03-12 22:25:54,572 [AWT-EventQueue-0] INFO  marytts.JTokeniser Power-on self test complete.
2018-03-12 22:25:54,572 [AWT-EventQueue-0] INFO  marytts.DummyTokens2Words Module started (TOKENS->WORDS, locale null).
2018-03-12 22:25:54,572 [AWT-EventQueue-0] INFO  marytts.DummyTokens2Words Starting power-on self test.
2018-03-12 22:25:54,573 [AWT-EventQueue-0] INFO  marytts.DummyTokens2Words Power-on self test complete.
2018-03-12 22:25:54,587 [AWT-EventQueue-0] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale null).
2018-03-12 22:25:54,587 [AWT-EventQueue-0] INFO  marytts.Prosody Starting power-on self test.
2018-03-12 22:25:54,588 [AWT-EventQueue-0] INFO  marytts.Prosody Power-on self test complete.
